iter	Passed	Remaining
623	1245	750
624	1246	747
625	1248	745
626	1252	745
627	1253	742
628	1255	740
629	1256	737
630	1257	735
631	1259	733
632	1260	730
633	1261	728
634	1264	727
635	1267	725
636	1268	722
637	1269	720
638	1270	717
639	1272	715
640	1273	713
641	1274	710
642	1275	708
643	1277	706
644	1283	706
645	1284	703
646	1285	701
647	1287	699
648	1288	696
649	1289	694
650	1290	691
651	1291	689
652	1293	687
653	1295	685
654	1297	683
655	1299	681
656	1300	678
657	1301	676
658	1302	673
659	1303	671
660	1305	669
661	1306	666
662	1307	664
663	1308	662
664	1311	660
665	1312	658
666	1314	656
667	1315	653
668	1316	651
669	1317	648
670	1318	646
671	1319	644
672	1321	641
673	1322	639
674	1324	637
675	1327	636
676	1328	633
677	1329	631
678	1330	629
679	1331	626
680	1333	624
681	1334	622
682	1335	619
683	1337	617
684	1340	616
685	1341	614
686	1342	611
687	1343	609
688	1344	607
689	1345	604
690	1347	602
691	1348	600
692	1349	597
693	1350	595
694	1352	593
695	1354	591
696	1356	589
697	1357	587
698	1358	585
699	1359	582
700	1361	580
701	1362	578
702	1363	576
703	1364	573
704	1365	571
705	1368	569
706	1370	568
707	1372	566
708	1373	563
709	1374	561
710	1375	559
711	1376	556
712	1378	554
713	1379	552
714	1380	550
715	1382	548
716	1385	546
717	1387	544
718	1388	542
719	1389	540
720	1391	538
721	1393	536
722	1394	534
723	1395	532
724	1398	530
725	1400	528
726	1401	526
727	1403	524
728	1404	522
729	1406	520
730	1407	518
731	1409	515
732	1410	513
733	1414	512
734	1416	510
735	1418	508
736	1419	506
737	1421	504
738	1422	502
739	1423	500
740	1424	497
741	1425	495
742	1427	493
743	1429	491
744	1431	490
745	1433	487
746	1434	485
747	1435	483
748	1437	481
749	1438	479
750	1439	477
751	1440	475
752	1444	473
753	1446	471
754	1447	469
755	1448	467
756	1450	465
757	1451	463
758	1452	461
759	1454	459
760	1455	457
761	1463	457
762	1467	455
763	1468	453
764	1469	451
765	1474	450
766	1477	448
767	1478	446
768	1479	444
769	1481	442
770	1482	440
771	1484	438
772	1486	436
773	1491	435
774	1492	433
775	1494	431
776	1495	429
777	1497	427
778	1498	425
779	1499	423
780	1501	421
781	1506	420
782	1509	418
783	1510	416
784	1512	414
785	1513	412
786	1515	410
787	1516	408
788	1519	406
789	1522	404
790	1523	402
791	1524	400
792	1526	398
793	1527	396
794	1528	394
795	1530	392
796	1531	390
797	1535	388
798	1537	386
799	1539	384
800	1540	382
801	1541	380
802	1543	378
803	1544	376
804	1545	374
805	1547	372
806	1553	371
807	1554	369
808	1556	367
809	1557	365
810	1559	363
811	1560	361
812	1561	359
813	1562	357
814	1565	355
815	1567	353
816	1568	351
817	1569	349
818	1571	347
819	1572	345
820	1574	343
821	1575	341
822	1578	339
823	1581	337
824	1582	335
825	1584	333
826	1585	331
827	1586	329
828	1588	327
829	1589	325
830	1590	323
831	1593	321
832	1596	320
833	1597	317
834	1598	315
835	1600	313
836	1601	311
837	1602	309
838	1603	307
839	1604	305
840	1605	303
841	1606	301
842	1609	299
843	1611	297
844	1612	295
845	1613	293
846	1614	291
847	1616	289
848	1617	287
849	1618	285
850	1619	283
851	1620	281
852	1621	279
853	1624	277
854	1626	275
855	1627	273
856	1628	271
857	1629	269
858	1630	267
859	1631	265
860	1632	263
861	1634	261
862	1635	259
863	1638	257
864	1640	256
865	1641	254
866	1643	252
867	1645	250
868	1647	248
869	1650	246
870	1651	244
871	1655	242
872	1656	241
873	1658	239
874	1659	237
875	1660	235
876	1661	233
877	1662	230
878	1663	228
879	1664	226
880	1664	224
881	1665	222
882	1668	221
883	1670	219
884	1671	217
885	1672	215
886	1673	213
887	1674	211
888	1675	209
889	1676	207
890	1677	205
891	1678	203
892	1679	201
893	1680	199
894	1681	197
895	1683	195
896	1685	193
897	1686	191
898	1688	189
899	1689	187
900	1691	185
901	1693	183
902	1694	182
903	1695	180
904	1698	178
905	1700	176
906	1701	174
907	1702	172
908	1704	170
909	1705	168
910	1706	166
911	1707	164
912	1707	162
913	1708	160
914	1709	158
915	1710	156
916	1713	155
917	1715	153
918	1716	151
919	1717	149
920	1718	147
921	1719	145
922	1720	143
923	1721	141
924	1722	139
925	1723	137
926	1724	135
927	1725	133
928	1728	132
929	1730	130
930	1732	128
931	1733	126
932	1734	124
933	1735	122
934	1736	120
935	1737	118
936	1738	116
937	1739	114
938	1740	113
939	1740	111
940	1743	109
941	1744	107
942	1745	105
943	1746	103
944	1748	101
945	1749	99
946	1750	97
947	1751	96
948	1752	94
949	1753	92
950	1754	90
951	1754	88
952	1755	86
953	1757	84
954	1758	82
955	1759	81
956	1760	79
957	1761	77
958	1762	75
959	1763	73
960	1764	71
961	1765	69
962	1766	67
963	1767	66
964	1768	64
965	1769	62
966	1770	60
967	1771	58
968	1773	56
969	1774	54
970	1775	53
971	1776	51
972	1777	49
973	1778	47
974	1779	45
975	1780	43
976	1780	41
977	1781	40
978	1782	38
979	1783	36
980	1784	34
981	1785	32
982	1787	30
983	1788	29
984	1789	27
985	1790	25
986	1791	23
987	1792	21
988	1793	19
989	1794	18
990	1796	16
991	1797	14
992	1798	12
993	1799	10
994	1800	9
995	1802	7
996	1803	5
997	1804	3
998	1805	1
999	1806	0
